tipo_vivienda,precio,habitaciones,banios,parqueos,direccion,metraje,detalles
apartamento,"RD$ 3,800,000",3 habitaciones,2.0 baños,2 parqueos,"Republica de Colombia, Santo Domingo Centro (D.N.), Santo Domingo",105 Mt2,"Agua Potable, Area Servicio Independiente, Balcón, Cisterna, Control de Acceso, Cuarto de Servicio, Pozo, Seguridad 24 Horas"
apartamento,"RD$ 9,500,000",3 habitaciones,3.5 baños,2 parqueos,"Renacimiento, Santo Domingo Centro (D.N.), Santo Domingo",300 Mt2,"1/2 Baño, Agua Potable, Aire Acondicionado, Area Servicio Independiente, Ascensor, Cisterna, Control de Acceso, Cuarto de Servicio, Estar Familiar, Planta Eléctrica, Pozo, Seguridad 24 Horas, Walk In Closet"
apartamento,"RD$ 7,000,000",3 habitaciones,2.5 baños,2 parqueos,"El Millon, Santo Domingo Centro (D.N.), Santo Domingo",158 Mt2,"1/2 Baño, Agua Potable, Area Servicio Independiente, Ascensor, Cisterna, Control de Acceso, Cuarto de Servicio, Planta Eléctrica, Pozo, Seguridad 24 Horas, Walk In Closet"
apartamento,"US$ 165,000",2 habitaciones,2.5 baños,2 parqueos,"La Esperilla, Santo Domingo Centro (D.N.), Santo Domingo",147 Mt2,"1/2 Baño, Agua Potable, Area Servicio Independiente, Ascensor, Cisterna, Control de Acceso, Cuarto de Servicio, Gimnasio, Lobby, Planta Eléctrica, Pozo, Seguridad 24 Horas, Terraza, Walk In Closet"
apartamento,"RD$ 6,760,000",3 habitaciones,2.5 baños,2 parqueos,"Fernandez, Santo Domingo Centro (D.N.), Santo Domingo",189 Mt2,"1/2 Baño, Agua Potable, Area Servicio Independiente, Balcón, Cisterna, Control de Acceso, Cuarto de Servicio, Pozo, Seguridad 24 Horas, Walk In Closet"
apartamento,"US$ 110,000",1 habitaciones,1.5 baños,1 parqueos,"Naco, Santo Domingo Centro (D.N.), Santo Domingo",65 Mt2,"1/2 Baño, Agua Potable, Aire Acondicionado, Area Servicio Independiente, Ascensor, Balcón, Cisterna, Control de Acceso, Planta Eléctrica, Pozo, Seguridad 24 Horas, Terraza"
apartamento,"RD$ 5,700,000",2 habitaciones,2.5 baños,2 parqueos,"Mirador Norte, Santo Domingo Centro (D.N.), Santo Domingo",126 Mt2,"1/2 Baño, Agua Potable, Area Servicio Independiente, Balcón, Cisterna, Control de Acceso, Cuarto de Servicio, Pozo, Seguridad 24 Horas"
apartamento,"RD$ 11,500,000",3 habitaciones,3.5 baños,2 parqueos,"Bella Vista, Santo Domingo Centro (D.N.), Santo Domingo",325 Mt2,"1/2 Baño, Agua Potable, Area Servicio Independiente, Ascensor, Balcón, Cisterna, Control de Acceso, Cuarto de Servicio, Family Room, Planta Eléctrica, Pozo, Seguridad 24 Horas, Walk In Closet"
apartamento,"RD$ 5,400,000",2 habitaciones,2.0 baños,1 parqueos,"Bella Vista Norte, Santo Domingo Centro (D.N.), Santo Domingo",112 Mt2,"Agua Potable, Area Servicio Independiente, Ascensor, Balcón, Cisterna, Control de Acceso, Cuarto de Servicio, Planta Eléctrica, Pozo, Seguridad 24 Horas"
apartamento,"RD$ 6,000,000",2 habitaciones,2.0 baños,2 parqueos,"Evaristo Morales, Santo Domingo Centro (D.N.), Santo Domingo",138 Mt2,"1/2 Baño, Agua Potable, Area Servicio Independiente, Ascensor, Balcón, Cisterna, Control de Acceso, Cuarto de Servicio, Gimnasio, Planta Eléctrica, Pozo, Seguridad 24 Horas, Walk In Closet"
