"","tipo_vivienda","divisa","precio","habitaciones","banios","parqueos","direccion","metraje","detalles"
"49","apartamento","RD$","2,800,000",3,2,1,"Don Honorio, Santo Domingo Centro (D.N.), Santo Domingo",91,""
"50","apartamento","RD$","5,990,000",3,2.5,2,"Las Praderas, Santo Domingo Centro (D.N.), Santo Domingo",162,"Seguridad 24 Horas"
"51","apartamento","RD$","5,100,000",2,2,2,"Fernandez, Santo Domingo Centro (D.N.), Santo Domingo",130,"Cuarto de Servicio"
"52","apartamento","US$","340,000",3,4,3,"Bella Vista, Santo Domingo Centro (D.N.), Santo Domingo",493,"Ascensor, Estar Familiar, Estudio, Jacuzzi, Patio, Planta Eléctrica, Seguridad 24 Horas, Terraza"
"53","apartamento","RD$","5,700,000",2,2,2,"Arroyo Hondo, Santo Domingo Centro (D.N.), Santo Domingo",190,""
"54","apartamento","US$","358,750",3,3.5,3,"Piantini, Santo Domingo Centro (D.N.), Santo Domingo",225,"1/2 Baño, Agua Potable, Area de Juegos Infantiles, Area Servicio Independiente, Ascensor, Balcón, Control de Acceso, Cuarto de Servicio, Estar Familiar, Gimnasio, Lobby, Piscina, Terraza, Walk In Closet"
"55","apartamento","US$","260,000",3,3.5,2,"La Esperilla, Santo Domingo Centro (D.N.), Santo Domingo",250,"1/2 Baño, Agua Potable, Area Servicio Independiente, Ascensor, Balcón, Cisterna, Control de Acceso, Cuarto de Servicio, Estar Familiar, Gimnasio, Jacuzzi, Lobby, Planta Eléctrica, Pozo, Seguridad 24 Horas, Vestidores, Walk In Closet"
"56","apartamento","US$","450,000",4,4.5,5,"Naco, Santo Domingo Centro (D.N.), Santo Domingo",554,"1/2 Baño, Agua Potable, Area de Juegos Infantiles, Area Servicio Independiente, Ascensor, Balcón, Cisterna, Control de Acceso, Cuarto de Servicio, Estar Familiar, Estudio, Family Room, Gazzebo, Gimnasio, Jacuzzi, Lobby, Piscina, Planta Eléctrica, Pozo, Seguridad 24 Horas, Terraza, Vestidores, Walk In Closet"
"57","apartamento","US$","375,000",4,4.5,3,"Naco, Santo Domingo Centro (D.N.), Santo Domingo",357,"1/2 Baño, Agua Potable, Area Servicio Independiente, Ascensor, Balcón, Cisterna, Control de Acceso, Cuarto de Servicio, Estar Familiar, Estudio, Family Room, Gazzebo, Lobby, Planta Eléctrica, Pozo, Seguridad 24 Horas, Terraza, Vestidores, Walk In Closet"
"58","casa","RD$","23,500,000",3,3.5,5,"El Millon, Santo Domingo Centro (D.N.), Santo Domingo",655,"1/2 Baño, Agua Potable, Area Servicio Independiente, Balcón, Cisterna, Control de Acceso, Cuarto de Servicio, Estar Familiar, Estudio, Family Room, Patio, Planta Eléctrica, Pozo, Terraza, Vestidores, Walk In Closet"
"59","apartamento","RD$","4,200,000",1,1.5,1,"El Millon, Santo Domingo Centro (D.N.), Santo Domingo",82,"1/2 Baño, Agua Potable, Area Servicio Independiente, Balcón, Cisterna, Control de Acceso, Cuarto de Servicio, Inversor, Lobby, Planta Eléctrica, Seguridad 24 Horas, Terraza, Vestidores, Walk In Closet"
"60","apartamento","RD$","9,900,000",3,3.5,2,"Mirador Sur, Santo Domingo Centro (D.N.), Santo Domingo",200,"1/2 Baño, Agua Potable, Area Servicio Independiente, Ascensor, Balcón, Cisterna, Control de Acceso, Cuarto de Servicio, Gazzebo, Gimnasio, Lobby, Planta Eléctrica, Pozo, Seguridad 24 Horas, Terraza, Vestidores, Walk In Closet"
"61","apartamento","US$","185,000",3,3.5,2,"Los Pinos de Arroyo Hondo, Santo Domingo Centro (D.N.), Santo Domingo",185,"1/2 Baño, Agua Potable, Area Servicio Independiente, Ascensor, Balcón, Cisterna, Control de Acceso, Cuarto de Servicio, Estar Familiar, Lobby, Planta Eléctrica, Pozo, Seguridad 24 Horas, Terraza, Vestidores, Walk In Closet"
"62","apartamento","RD$","17,300,000",3,3.5,3,"Serralles, Santo Domingo Centro (D.N.), Santo Domingo",0,"1/2 Baño, Agua Potable, Area Servicio Independiente, Ascensor, Balcón, Cisterna, Control de Acceso, Cuarto de Servicio, Estar Familiar, Estudio, Family Room, Gimnasio, Lobby, Planta Eléctrica, Pozo, Seguridad 24 Horas, Vestidores, Walk In Closet"
"63","apartamento","US$","275,000",3,3.5,2,"La Esperilla, Santo Domingo Centro (D.N.), Santo Domingo",250,"1/2 Baño, Aire Acondicionado, Ascensor, Balcón, Cuarto de Servicio, Estar Familiar, Family Room, Gazzebo, Lobby, Planta Eléctrica, Seguridad 24 Horas, Shutters, Walk In Closet"
"64","apartamento","US$","130,000",2,2.5,2,"Mirador Norte, Santo Domingo Centro (D.N.), Santo Domingo",114,"1/2 Baño, Agua Potable, Area Servicio Independiente, Ascensor, Cisterna, Control de Acceso, Cuarto de Servicio, Gimnasio, Planta Eléctrica, Pozo, Seguridad 24 Horas, Walk In Closet"
"65","apartamento","US$","130,000",3,2.5,2,"Mirador Norte, Santo Domingo Centro (D.N.), Santo Domingo",114,"1/2 Baño, Agua Potable, Cuarto de Servicio, Lobby, Planta Eléctrica, Walk In Closet"
"66","apartamento","US$","109,450",2,2.5,2,"Av. Independencia, Santo Domingo Centro (D.N.), Santo Domingo",112,"1/2 Baño, Agua Potable, Ascensor, Cuarto de Servicio, Planta Eléctrica, Terraza"
"67","apartamento","US$","160,000",2,2.5,2,"Naco, Santo Domingo Centro (D.N.), Santo Domingo",111,"1/2 Baño, Agua Potable, Area de Juegos Infantiles, Ascensor, Balcón, Gimnasio, Lobby, Planta Eléctrica, Seguridad 24 Horas"
"68","apartamento","US$","98,000",1,1.5,2,"Evaristo Morales, Santo Domingo Centro (D.N.), Santo Domingo",75,"1/2 Baño, Agua Potable, Aire Acondicionado, Area de Juegos Infantiles, Area Servicio Independiente, Ascensor, Balcón, Cisterna, Control de Acceso, Cuarto de Servicio, Estar Familiar, Estudio, Family Room, Gazzebo, Gimnasio, Inversor, Lobby, Patio, Planta Eléctrica, Pozo, Satélite, Sauna, Seguridad 24 Horas, Shutters, Terraza, Walk In Closet"
"69","casa","RD$","10,480,000",5,3.5,2,"Villa Marina, Santo Domingo Centro (D.N.), Santo Domingo",471,"1/2 Baño, Agua Potable, Aire Acondicionado, Area Servicio Independiente, Balcón, Control de Acceso, Cuarto de Servicio, Estar Familiar, Estudio, Patio, Walk In Closet"
"70","apartamento","US$","560,000",3,3.5,3,"Los Cacicazgos, Santo Domingo Centro (D.N.), Santo Domingo",244,"1/2 Baño, Agua Potable, Aire Acondicionado, Area de Juegos Infantiles, Area Servicio Independiente, Ascensor, Balcón, Cisterna, Control de Acceso, Cuarto de Servicio, Estar Familiar, Estudio, Family Room, Gazzebo, Gimnasio, Jacuzzi, Lobby, Patio, Piscina, Planta Eléctrica, Satélite, Seguridad 24 Horas, Vestidores, Walk In Closet"
"71","apartamento","US$","215,000",3,3,2,"El Vergel, Santo Domingo Centro (D.N.), Santo Domingo",250,"1/2 Baño, Agua Potable, Aire Acondicionado, Area Servicio Independiente, Ascensor, Balcón, Cisterna, Control de Acceso, Cuarto de Servicio, Estudio, Gimnasio, Lobby, Planta Eléctrica, Seguridad 24 Horas, Terraza, Vestidores, Walk In Closet"
"72","casa","RD$","23,700,000",3,3.5,10,"Mirador Sur, Santo Domingo Centro (D.N.), Santo Domingo",732,"1/2 Baño, Agua Potable, Area Servicio Independiente, Balcón, Control de Acceso, Cuarto de Servicio, Estar Familiar, Patio, Planta Eléctrica, Seguridad 24 Horas"
"73","apartamento","US$","158,000",3,2.5,2,"Evaristo Morales, Santo Domingo Centro (D.N.), Santo Domingo",0,"1/2 Baño, Agua Potable, Area de Juegos Infantiles, Area Servicio Independiente, Ascensor, Balcón, Cisterna, Control de Acceso, Cuarto de Servicio, Lobby, Piscina, Planta Eléctrica, Seguridad 24 Horas"
"74","apartamento","US$","170,000",2,2,2,"Bella Vista Norte, Santo Domingo Centro (D.N.), Santo Domingo",115,"1/2 Baño, Agua Potable, Aire Acondicionado, Area de Juegos Infantiles, Area Servicio Independiente, Ascensor, Balcón, Control de Acceso, Cuarto de Servicio, Estar Familiar, Estudio, Family Room, Gimnasio, Lobby, Piscina, Planta Eléctrica, Seguridad 24 Horas, Terraza, Vestidores, Walk In Closet"
"75","apartamento","US$","159,000",1,1.5,2,"La Esperilla, Santo Domingo Centro (D.N.), Santo Domingo",87,"1/2 Baño, Agua Potable, Aire Acondicionado, Area de Juegos Infantiles, Ascensor, Balcón, Control de Acceso, Cuarto de Servicio, Family Room, Gimnasio, Jacuzzi, Lobby, Piscina, Planta Eléctrica, Pozo, Seguridad 24 Horas, Terraza, Vestidores, Walk In Closet"
"76","apartamento","US$","480,000",3,3.5,3,"Anacaona, Santo Domingo Centro (D.N.), Santo Domingo",287,"1/2 Baño, Agua Potable, Aire Acondicionado, Area de Juegos Infantiles, Area Servicio Independiente, Ascensor, Balcón, Control de Acceso, Cuarto de Servicio, Estar Familiar, Estudio, Family Room, Gimnasio, Lobby, Planta Eléctrica, Pozo, Seguridad 24 Horas, Terraza, Vestidores, Walk In Closet"
"77","apartamento","US$","210,490",3,3.5,2,"Evaristo Morales, Santo Domingo Centro (D.N.), Santo Domingo",167,""
"78","apartamento","US$","147,000",3,2.5,2,"Los Restauradores, Santo Domingo Centro (D.N.), Santo Domingo",153,""
"79","apartamento","US$","192,400",3,2.5,2,"Los Restauradores, Santo Domingo Centro (D.N.), Santo Domingo",249,""
"80","apartamento","US$","146,000",3,2.5,2,"Av. Cayetano Germosen, Santo Domingo Centro (D.N.), Santo Domingo",145,"1/2 Baño, Cuarto de Servicio, Terraza"
"81","apartamento","US$","98,000",2,2.5,1,"Av. Cayetano Germosen, Santo Domingo Centro (D.N.), Santo Domingo",95,"1/2 Baño, Cuarto de Servicio, Terraza"
"82","apartamento","RD$","4,100,000",NA,NA,NA,"Av. Cayetano Germosen, Santo Domingo Centro (D.N.), Santo Domingo",133,"1/2 Baño, Balcón"
"83","apartamento","RD$","4,300,000",2,2.5,1,"Av. Cayetano Germosen, Santo Domingo Centro (D.N.), Santo Domingo",136,"Terraza"
"84","apartamento","US$","120,000",1,2,1,"Renacimiento, Santo Domingo Centro (D.N.), Santo Domingo",78,"Ascensor, Balcón, Gimnasio, Piscina, Planta Eléctrica, Seguridad 24 Horas"
"85","apartamento","RD$","5,300,000",3,2,2,"Renacimiento, Santo Domingo Centro (D.N.), Santo Domingo",138,""
"86","apartamento","US$","421,000",3,3.5,3,"Naco, Santo Domingo Centro (D.N.), Santo Domingo",310,""
"87","apartamento","US$","260,000",3,3.5,2,"Naco, Santo Domingo Centro (D.N.), Santo Domingo",220,""
"88","apartamento","US$","103,000",2,2,2,"Gala, Santo Domingo Centro (D.N.), Santo Domingo",108,""
"89","apartamento","US$","271,300",3,3.5,3,"Naco, Santo Domingo Centro (D.N.), Santo Domingo",211,""
"90","apartamento","RD$","5,450,000",3,2.5,2,"Colinas Del Oeste, Santo Domingo Centro (D.N.), Santo Domingo",152,""
"91","apartamento","US$","247,600",3,2.5,2,"Naco, Santo Domingo Centro (D.N.), Santo Domingo",179,""
"92","apartamento","RD$","4,700,000",3,2,2,"Colinas Del Oeste, Santo Domingo Centro (D.N.), Santo Domingo",138,""
"93","apartamento","US$","119,000",1,1.5,2,"Naco, Santo Domingo Centro (D.N.), Santo Domingo",103,""
"94","apartamento","US$","155,000",2,2.5,2,"Bella Vista, Santo Domingo Centro (D.N.), Santo Domingo",105,""
"95","apartamento","US$","209,500",3,3.5,2,"Evaristo Morales, Santo Domingo Centro (D.N.), Santo Domingo",147,""
"96","apartamento","US$","172,900",3,3.5,2,"Evaristo Morales, Santo Domingo Centro (D.N.), Santo Domingo",133,""
"97","apartamento","US$","249,000",3,3.5,2,"Naco, Santo Domingo Centro (D.N.), Santo Domingo",178,""
"98","apartamento","US$","262,000",3,3.5,2,"Naco, Santo Domingo Centro (D.N.), Santo Domingo",200,""
"99","apartamento","US$","246,000",3,3.5,3,"Naco, Santo Domingo Centro (D.N.), Santo Domingo",207,""
"100","apartamento","US$","339,000",3,3.5,3,"Naco, Santo Domingo Centro (D.N.), Santo Domingo",257,""
"101","apartamento","US$","367,000",3,3.5,3,"Piantini, Santo Domingo Centro (D.N.), Santo Domingo",210,""
"102","apartamento","RD$","6,400,000",3,2,2,"Gazcue, Santo Domingo Centro (D.N.), Santo Domingo",184,"Balcón, Estar Familiar"
"103","apartamento","US$","165,500",3,3.5,2,"Mirador Norte, Santo Domingo Centro (D.N.), Santo Domingo",142,""
"104","apartamento","US$","220,000",3,2.5,2,"Mirador Sur, Santo Domingo Centro (D.N.), Santo Domingo",183,""
"105","apartamento","US$","80,000",1,1.5,1,"Bella Vista, Santo Domingo Centro (D.N.), Santo Domingo",56,""
"106","apartamento","US$","370,000",4,3.5,2,"Anacaona, Santo Domingo Centro (D.N.), Santo Domingo",350,""
"107","apartamento","US$","194,000",3,3.5,2,"Bella Vista, Santo Domingo Centro (D.N.), Santo Domingo",170,""
"108","apartamento","US$","98,500",3,2.5,2,"Quisqueya, Santo Domingo Centro (D.N.), Santo Domingo",97,""
"109","apartamento","US$","162,000",2,2.5,1,"La Esperilla, Santo Domingo Centro (D.N.), Santo Domingo",116,""
"110","apartamento","US$","56,000",1,1.5,1,"Quisqueya, Santo Domingo Centro (D.N.), Santo Domingo",56,""
"111","apartamento","US$","310,000",3,3.5,2,"Piantini, Santo Domingo Centro (D.N.), Santo Domingo",180,""
"112","apartamento","US$","465,000",3,3.5,3,"Piantini, Santo Domingo Centro (D.N.), Santo Domingo",305,""
"113","apartamento","US$","194,000",1,1.5,1,"Piantini, Santo Domingo Centro (D.N.), Santo Domingo",70,""
"114","apartamento","US$","295,000",3,3.5,3,"Serralles, Santo Domingo Centro (D.N.), Santo Domingo",214,"1/2 Baño, Agua Potable, Aire Acondicionado, Ascensor, Balcón, Cisterna, Control de Acceso, Cuarto de Servicio, Estudio, Gimnasio, Jacuzzi, Lobby, Planta Eléctrica, Pozo, Seguridad 24 Horas, Walk In Closet"
"115","apartamento","US$","149,000",1,1.5,1,"Piantini, Santo Domingo Centro (D.N.), Santo Domingo",61,""
"116","apartamento","US$","345,000",3,3.5,3,"Piantini, Santo Domingo Centro (D.N.), Santo Domingo",200,""
"117","apartamento","US$","310,000",3,3.5,3,"Piantini, Santo Domingo Centro (D.N.), Santo Domingo",180,""
"118","apartamento","US$","336,000",3,3.5,2,"Piantini, Santo Domingo Centro (D.N.), Santo Domingo",275,""
"119","apartamento","US$","590,000",3,3.5,3,"Piantini, Santo Domingo Centro (D.N.), Santo Domingo",415,""
"120","apartamento","US$","217,000",2,2.5,2,"Piantini, Santo Domingo Centro (D.N.), Santo Domingo",120,""
"121","apartamento","US$","700,000",3,3.5,3,"Piantini, Santo Domingo Centro (D.N.), Santo Domingo",400,""
"122","apartamento","US$","256,000",3,3.5,2,"Piantini, Santo Domingo Centro (D.N.), Santo Domingo",170,""
"123","apartamento","US$","154,000",1,1.5,1,"Piantini, Santo Domingo Centro (D.N.), Santo Domingo",70,""
"124","apartamento","US$","725,000",3,3.5,4,"Piantini, Santo Domingo Centro (D.N.), Santo Domingo",405,""
"125","apartamento","US$","134,750",1,1.5,1,"Piantini, Santo Domingo Centro (D.N.), Santo Domingo",55,""
"126","apartamento","US$","178,000",2,2.5,2,"Naco, Santo Domingo Centro (D.N.), Santo Domingo",145,""
"127","apartamento","US$","657,248",3,3.5,4,"Piantini, Santo Domingo Centro (D.N.), Santo Domingo",325,""
"128","apartamento","RD$","4,600,000",3,2.5,2,"Villa Marina, Santo Domingo Centro (D.N.), Santo Domingo",179,""
"129","apartamento","US$","152,000",3,2.5,2,"Bella Vista, Santo Domingo Centro (D.N.), Santo Domingo",132,""
"130","apartamento","US$","246,500",2,2.5,2,"Naco, Santo Domingo Centro (D.N.), Santo Domingo",170,""
"131","apartamento","US$","255,000",3,3.5,2,"Los Cacicazgos, Santo Domingo Centro (D.N.), Santo Domingo",216,""
"132","apartamento","US$","310,000",3,3.5,3,"Los Cacicazgos, Santo Domingo Centro (D.N.), Santo Domingo",247,""
"133","apartamento","US$","290,000",3,3.5,2,"Urbanizacion Real, Santo Domingo Centro (D.N.), Santo Domingo",200,""
"134","apartamento","US$","95,000",1,1.5,1,"Urbanizacion Real, Santo Domingo Centro (D.N.), Santo Domingo",55,""
"135","apartamento","US$","156,000",2,2.5,2,"Urbanizacion Real, Santo Domingo Centro (D.N.), Santo Domingo",108,""
