tipo_vivienda,divisa,precio,habitaciones,banios,parqueos,direccion,metraje,detalles
apartamento,US$,"179,000",3,3,2,"Naco, Santo Domingo Centro (D.N.), Santo Domingo",180,"Control de Acceso, Lobby, Planta Eléctrica, Seguridad 24 Horas"
apartamento,RD$,"5,200,000",2,2,2,"Evaristo Morales, Santo Domingo Centro (D.N.), Santo Domingo",0,"Seguridad 24 Horas, Walk In Closet"
apartamento,US$,"160,000",3,2.5,3,"Arroyo Hondo, Santo Domingo Centro (D.N.), Santo Domingo",148,"1/2 Baño, Agua Potable, Ascensor, Cisterna, Cuarto de Servicio, Planta Eléctrica, Seguridad 24 Horas"
apartamento,US$,"199,900",3,3.5,2,"Evaristo Morales, Santo Domingo Centro (D.N.), Santo Domingo",175,"Area de Juegos Infantiles, Area Servicio Independiente, Ascensor, Balcón, Cisterna, Cuarto de Servicio, Gazzebo, Lobby, Planta Eléctrica, Seguridad 24 Horas"
apartamento,US$,"252,000",3,3.5,2,"Naco, Santo Domingo Centro (D.N.), Santo Domingo",225,"1/2 Baño, Ascensor, Cuarto de Servicio, Gimnasio, Planta Eléctrica, Seguridad 24 Horas"
apartamento,US$,"128,000",2,2.5,2,"El Millon, Santo Domingo Centro (D.N.), Santo Domingo",140,"1/2 Baño, Agua Potable, Ascensor, Balcón, Cuarto de Servicio, Lobby, Planta Eléctrica"
apartamento,US$,"355,000",3,3.5,3,"Evaristo Morales, Santo Domingo Centro (D.N.), Santo Domingo",300,"1/2 Baño, Agua Potable, Ascensor, Balcón, Cisterna, Cuarto de Servicio, Estar Familiar, Lobby, Planta Eléctrica, Seguridad 24 Horas, Walk In Closet"
apartamento,US$,"155,000",3,2.5,2,"El Millon, Santo Domingo Centro (D.N.), Santo Domingo",225,"1/2 Baño, Agua Potable, Area Servicio Independiente, Ascensor, Balcón, Cisterna, Seguridad 24 Horas, Vestidores"
apartamento,US$,"185,000",2,2.5,2,"Serralles, Santo Domingo Centro (D.N.), Santo Domingo",173,"1/2 Baño, Ascensor, Lobby, Planta Eléctrica, Seguridad 24 Horas"
apartamento,RD$,"12,000,000",3,3.5,2,"Piantini, Santo Domingo Centro (D.N.), Santo Domingo",360,"Ascensor, Piscina, Planta Eléctrica, Seguridad 24 Horas, Walk In Closet"
apartamento,RD$,"11,000,000",4,4,2,"Naco, Santo Domingo Centro (D.N.), Santo Domingo",310,"Lobby, Planta Eléctrica, Seguridad 24 Horas"
casa,RD$,"4,850,000",4,2.5,2,"Arroyo Manzano, Santo Domingo Centro (D.N.), Santo Domingo",265,"Patio, Seguridad 24 Horas"
casa,RD$,"8,500,000",3,2,NA,"Gala, Santo Domingo Centro (D.N.), Santo Domingo",395,
casa,RD$,"7,650,000",3,2,NA,"Av. Independencia, Santo Domingo Centro (D.N.), Santo Domingo",232,
apartamento,US$,"120,000",2,2,2,"Zona Universitaria, Santo Domingo Centro (D.N.), Santo Domingo",143,
apartamento,US$,"210,000",3,3.5,2,"Naco, Santo Domingo Centro (D.N.), Santo Domingo",198,"Ascensor, Balcón, Cuarto de Servicio, Estar Familiar, Planta Eléctrica, Walk In Closet"
apartamento,RD$,"3,900,000",3,2,2,"Colina de los Rios, Santo Domingo Centro (D.N.), Santo Domingo",124,"Area Servicio Independiente, Balcón, Cisterna, Control de Acceso, Cuarto de Servicio, Seguridad 24 Horas"
apartamento,RD$,"4,200,000",2,1,NA,"Colina de los Rios, Santo Domingo Centro (D.N.), Santo Domingo",140,"Agua Potable, Area Servicio Independiente, Ascensor, Balcón, Cisterna, Control de Acceso, Cuarto de Servicio, Lobby, Patio, Seguridad 24 Horas, Walk In Closet"
apartamento,RD$,"1,700,000",1,1,1,"Altos de Arroyo Hondo, Santo Domingo Centro (D.N.), Santo Domingo",47,"Agua Potable, Balcón, Cisterna, Control de Acceso, Seguridad 24 Horas"
apartamento,RD$,"3,200,000",3,2,2,"Altos de Arroyo Hondo III, Santo Domingo Centro (D.N.), Santo Domingo",115,"Agua Potable, Balcón, Control de Acceso, Cuarto de Servicio, Walk In Closet"
apartamento,US$,"155,000",3,3.5,3,"Evaristo Morales, Santo Domingo Centro (D.N.), Santo Domingo",217,"1/2 Baño, Ascensor, Balcón, Cisterna, Cuarto de Servicio, Gimnasio, Lobby, Planta Eléctrica, Seguridad 24 Horas"
apartamento,RD$,"7,500,000",3,2.5,2,"Bella Vista, Santo Domingo Centro (D.N.), Santo Domingo",162,"1/2 Baño, Agua Potable, Ascensor, Balcón, Cuarto de Servicio, Planta Eléctrica, Seguridad 24 Horas"
apartamento,US$,"136,000",3,2.5,2,"Bella Vista, Santo Domingo Centro (D.N.), Santo Domingo",0,"1/2 Baño, Area de Juegos Infantiles, Ascensor, Balcón, Cuarto de Servicio, Gimnasio, Planta Eléctrica, Seguridad 24 Horas"
apartamento,RD$,"4,200,000",2,1,1,"Bella Vista, Santo Domingo Centro (D.N.), Santo Domingo",110,"Agua Potable, Balcón, Cuarto de Servicio"
apartamento,US$,"169,000",2,2.5,2,"Bella Vista, Santo Domingo Centro (D.N.), Santo Domingo",89,"1/2 Baño, Agua Potable, Ascensor, Gazzebo, Lobby, Piscina, Planta Eléctrica, Seguridad 24 Horas, Walk In Closet"
apartamento,US$,"343,200",3,3.5,3,"Paraiso, Santo Domingo Centro (D.N.), Santo Domingo",250,"1/2 Baño, Agua Potable, Ascensor, Balcón, Cisterna, Cuarto de Servicio, Estudio, Gazzebo, Lobby, Piscina, Planta Eléctrica, Seguridad 24 Horas, Walk In Closet"
casa,RD$,"9,800,000",3,2,2,"10 1/2 Carretera Sanchez, Santo Domingo Centro (D.N.), Santo Domingo",0,"Agua Potable, Patio"
apartamento,US$,"128,000",2,2.5,2,"El Millon, Santo Domingo Centro (D.N.), Santo Domingo",140,"1/2 Baño, Agua Potable, Ascensor, Balcón, Cuarto de Servicio, Planta Eléctrica, Walk In Closet"
apartamento,US$,"128,882",1,1.5,1,"Piantini, Santo Domingo Centro (D.N.), Santo Domingo",60,"Agua Potable, Ascensor, Cisterna, Piscina, Planta Eléctrica"
apartamento,US$,"175,000",3,3.5,2,"Evaristo Morales, Santo Domingo Centro (D.N.), Santo Domingo",200,"1/2 Baño, Agua Potable, Ascensor, Balcón, Cuarto de Servicio, Lobby, Planta Eléctrica, Seguridad 24 Horas, Walk In Closet"
apartamento,US$,"228,000",3,2.5,2,"Naco, Santo Domingo Centro (D.N.), Santo Domingo",180,"1/2 Baño, Agua Potable, Ascensor, Balcón, Cuarto de Servicio, Gazzebo, Gimnasio, Jacuzzi, Planta Eléctrica, Seguridad 24 Horas, Walk In Closet"
casa,US$,"1,250,000",3,3.5,5,"Los Cacicazgos, Santo Domingo Centro (D.N.), Santo Domingo",560,"1/2 Baño, Agua Potable, Cisterna, Cuarto de Servicio, Estar Familiar, Estudio, Family Room, Gimnasio, Planta Eléctrica, Seguridad 24 Horas, Terraza, Walk In Closet"
apartamento,US$,"260,000",3,3.5,3,"Piantini, Santo Domingo Centro (D.N.), Santo Domingo",188,"1/2 Baño, Agua Potable, Ascensor, Cuarto de Servicio, Estar Familiar, Lobby, Planta Eléctrica, Seguridad 24 Horas, Walk In Closet"
apartamento,US$,"155,000",2,2.5,2,"Evaristo Morales, Santo Domingo Centro (D.N.), Santo Domingo",140,"1/2 Baño, Agua Potable, Ascensor, Balcón, Cisterna, Cuarto de Servicio, Gimnasio, Lobby, Planta Eléctrica, Seguridad 24 Horas, Walk In Closet"
apartamento,US$,"230,000",3,3.5,2,"Bella Vista, Santo Domingo Centro (D.N.), Santo Domingo",205,"1/2 Baño, Agua Potable, Ascensor, Balcón, Cuarto de Servicio, Lobby, Planta Eléctrica"
